hour_bin,transactions,average_risk,observed_fraud,risk_baseline,risk_std,risk_lift,z_score,spike_score,transaction_risk_score,final_risk_score,severity,explanation,alert
3892,57,0.07355066802387213,2,0.048851847129567964,0.023497622943379017,1.5055862233580726,1.0511199772768338,16.185382229037813,7.3550668023872126,10.887192973047453,LOW,risk 1.5x above recent baseline,False
3893,26,0.06298285218784874,4,0.048675633177924234,0.02328615975379655,1.2939297976387338,0.6144086943143072,11.745518059157089,6.298285218784875,8.477178354933761,LOW,no major anomaly detected,False
3894,29,0.08411447737254858,6,0.04750514288115446,0.021715333972875825,1.7706393933596025,1.6858748079639063,24.19928093163326,8.411447737254859,14.726581015006222,LOW,risk 1.8x above recent baseline,False
3895,14,0.04030375346077513,5,0.04540767133338756,0.014019197776083975,0.8875978943042694,-0.3640663291960575,7.839474080655171,4.030375346077513,5.554014839908576,LOW,no major anomaly detected,False
3896,8,0.033785466576334265,0,0.04590705014519328,0.013590921651398389,0.7359537689631271,-0.8918882677549544,6.3606963845777225,3.3785466576334264,4.5714065484111455,LOW,no major anomaly detected,False
3897,15,0.032261904677087776,0,0.045156236388438985,0.013747759001183742,0.7144506995571391,-0.937922443231726,8.026305204928967,3.2261904677087774,5.146236362596853,LOW,no major anomaly detected,False
3898,28,0.031054255481289008,0,0.04544500370834884,0.013381138717113467,0.6833370656229902,-1.0754501938355332,9.74790953665961,3.105425548128901,5.762419143541184,LOW,no major anomaly detected,False
3899,82,0.030931098657091698,3,0.044507026455601735,0.01357474417535488,0.6949711342308436,-1.0000871930358222,12.792003042361808,3.09310986570917,6.972667136370225,LOW,no major anomaly detected,False
3900,104,0.029964146537274305,2,0.04460277360584645,0.013465577708595475,0.6718000723916115,-1.087114670113847,13.472645936403646,2.9964146537274305,7.186907166797917,LOW,104 transactions in window,False
3901,139,0.040460589164814514,11,0.044264282422103986,0.013735858274811028,0.9140685661405855,-0.27691704305545484,14.305450346579265,4.046058916481451,8.149815488520577,LOW,139 transactions in window,False
3902,188,0.042569519138090955,10,0.04461095550929709,0.013519862188770632,0.9542391247194718,-0.15099535355484012,15.174216432615061,4.256951913809096,8.623857721331483,LOW,188 transactions in window,False
3903,212,0.03529685272551576,5,0.04470223055210374,0.013497424661908052,0.7895993620357419,-0.6968275846822467,15.520285020858202,3.529685272551576,8.325925171874227,LOW,212 transactions in window,False
3904,206,0.04330241249528732,5,0.04443156314302906,0.013622853821679303,0.9745867449203416,-0.08288649812455764,15.43756860275749,4.330241249528732,8.773172190820237,LOW,206 transactions in window,False
3905,238,0.05318336928883705,8,0.04440633960786139,0.013624426152818746,1.1976526270456627,0.6442127971136451,17.33608679892907,5.3183369288837055,10.125436876901851,LOW,238 transactions in window,False
3906,239,0.059057228073978965,5,0.044847402877326775,0.013734234374760923,1.3168483409289273,1.034628127707304,18.67499343889239,5.905722807397897,11.013431059995694,LOW,239 transactions in window,False
3907,219,0.037086221245931826,5,0.04551505412927299,0.014028546217133552,0.8148121968744367,-0.6008343810456093,15.61389199252189,3.7086221245931825,8.470730071764667,LOW,219 transactions in window,False
3908,240,0.04036024496139974,7,0.04525436203251468,0.014128445143967796,0.8918531418562795,-0.3464016755732319,15.877816216352365,4.036024496139974,8.77274118422493,LOW,240 transactions in window,False
3909,258,0.05160464137189885,10,0.045190739903428555,0.014147692121211742,1.141929551987346,0.4533531980706511,17.150809161499158,5.160464137189885,9.956602146913594,LOW,258 transactions in window,False
3910,224,0.05033246470225126,10,0.045849694448348806,0.014058810182135688,1.0977709951579382,0.3188584379351418,16.412230624994876,5.033246470225126,9.584840132133026,LOW,224 transactions in window,False
3911,223,0.04672969279259085,5,0.046374693716525334,0.013977535423635385,1.007655017157321,0.02539783054065663,15.723465990589592,4.672969279259085,9.093167963791288,LOW,223 transactions in window,False
3912,200,0.03966979520954521,4,0.046575567006716216,0.013945167847315854,0.851729732110933,-0.49520894067260873,15.352419003022503,3.9669795209545207,8.521155313781714,LOW,200 transactions in window,False
3913,185,0.056113490804446026,11,0.04652511037007212,0.013968839449842608,1.2060904392940839,0.6864121009338353,16.67357569630125,5.611349080444603,10.036239726787262,LOW,185 transactions in window,False
3914,137,0.06733692781487685,6,0.04696281148325263,0.01410281213007916,1.433835106718213,1.4446846588964564,23.07611824829317,6.733692781487685,13.270662968209878,LOW,137 transactions in window,False
3915,99,0.12409655915555179,6,0.0477496576075496,0.014703563853846219,2.5988994554786324,5.192407929593958,75.32315029528685,12.409655915555179,37.57505366744785,MEDIUM,elevated predicted fraud probability; risk 2.6x above recent baseline; 5.2σ statistical deviation,False
3916,65,0.06969111897903739,12,0.050256192996630776,0.02125254612240095,1.3867170357235286,0.914475181960504,15.028915763138661,6.969111897903739,10.193033443997708,LOW,no major anomaly detected,False
